Gender,Annual.Salary,Department,Department.Name,Assignment,Position.Title,Date.Hired
F,43724.6698,POL,Department of Police,Fulltime,Senior Public Safety Emergency Communications Specialist,10/01/1990
M,38194.9326,DLC,Department of Liquor Control,Fulltime,Supply Technician III,04/10/2013
M,108719.4636,POL,Department of Police,Fulltime,Police Sergeant,06/25/1990
M,87978.07,REC,Department of Recreation,Fulltime,Recreation Specialist,12/18/2000
F,25795.6188,LIB,Department of Public Libraries,Parttime,Library Associate,06/07/2007
F,44311.911,LIB,Department of Public Libraries,Fulltime,Library Assistant II,09/22/2013
F,61300.0872,HHS,Department of Health and Human Services,Fulltime,Social Worker II,08/24/2015
M,102377.4,HHS,Department of Health and Human Services,Fulltime,Community Health Nurse II,08/21/2000
M,53752.804,DOT,Department of Transportation,Fulltime,Bus Operator,03/07/2005
M,89720.21,DPS,Department of Permitting Services,Fulltime,Permitting and Code Enforcement Inspector III,09/12/1988
M,50689.5444,DOT,Department of Transportation,Fulltime,Bus Operator,08/27/2007
M,91908.7708,SHF,Sheriff's Office,Fulltime,Deputy Sheriff III,09/29/1997
F,64958.7,HHS,Department of Health and Human Services,Fulltime,Income Assistance Program Specialist II,08/25/2014
F,72935.87,HHS,Department of Health and Human Services,Fulltime,Community Health Nurse II,03/08/2016
F,40375.1866,LIB,Department of Public Libraries,Parttime,Library Associate II,01/28/1991
M,50284.2704,DOT,Department of Transportation,Fulltime,Public Service Worker II,11/04/1988
M,57336.0638,POL,Department of Police,Fulltime,Security Officer I,09/20/2004
M,44957.88,COR,Correction and Rehabilitation,Fulltime,Correctional Officer III (Corporal),10/16/2017
M,98631.348,DOT,Department of Transportation,Fulltime,Program Manager I,07/01/1974
M,123107.453,DTS,Department of Technology Services,Fulltime,Technology Expert,10/04/2004
M,75317.82,FRS,Fire and Rescue Services,Fulltime,Firefighter/Rescuer III,01/30/2006
F,118944.56,DTS,Department of Technology Services,Fulltime,Senior Information Technology Specialist,11/13/2007
M,100170.57,HHS,Department of Health and Human Services,Fulltime,Program Manager II,10/22/2012
F,67312.2879,LIB,Department of Public Libraries,Fulltime,Librarian II,05/30/2017
F,115718.792,DPS,Department of Permitting Services,Fulltime,Management and Budget Specialist III,11/28/1994
M,62697.46,DPS,Department of Permitting Services,Fulltime,Permitting and Code Enforcement Inspector III,10/17/2016
M,60257.408,DPS,Department of Permitting Services,Fulltime,Permitting and Code Enforcement Inspector III,03/09/2015
F,58379.61,HHS,Department of Health and Human Services,Fulltime,Community Services Aide II,09/23/2002
M,101715.0834,COR,Correction and Rehabilitation,Fulltime,Correctional Shift Commander (Lieutenant),05/14/2001
M,81426.498,HHS,Department of Health and Human Services,Fulltime,Behavioral Health Associate Counselor,12/03/2012
F,42484.1934,DOT,Department of Transportation,Fulltime,Bus Operator,11/09/2015
M,98712.9,FRS,Fire and Rescue Services,Fulltime,Fire/Rescue Lieutenant,09/03/2002
M,79289.8227,COR,Correction and Rehabilitation,Fulltime,Correctional Specialist III,08/26/2013
F,95740,DEP,Department of Environmental Protection,Fulltime,Administrative Specialist III,06/26/2006
M,57563.7,FRS,Fire and Rescue Services,Fulltime,Firefighter/Rescuer III,09/22/2014
M,42067.6817,DOT,Department of Transportation,Fulltime,Bus Operator,04/04/2016
F,77229.2169,FIN,Department of Finance,Fulltime,Accountant/Auditor III,02/23/2015
M,63695.1,COR,Correction and Rehabilitation,Fulltime,Correctional Officer III (Corporal),02/07/2005
F,65388.41,REC,Department of Recreation,Fulltime,Recreation Specialist,11/17/2014
M,66728.97,POL,Department of Police,Fulltime,Police Officer III,07/16/2012
M,57377.04,FRS,Fire and Rescue Services,Fulltime,Firefighter/Rescuer III,05/04/2014
F,55733.1978,REC,Department of Recreation,Fulltime,Program Aide,07/16/2000
M,107345.82,DLC,Department of Liquor Control,Fulltime,Program Manager II,08/08/2016
M,52672.06,FRS,Fire and Rescue Services,Fulltime,Firefighter/Rescuer III,09/22/2014
M,107621.2872,POL,Department of Police,Fulltime,Police Sergeant,06/25/1990
F,70505.82,SHF,Sheriff's Office,Fulltime,Deputy Sheriff III,06/16/2003
M,63238.42,FRS,Fire and Rescue Services,Fulltime,Firefighter/Rescuer III,01/14/2013
M,58545.5234,HHS,Department of Health and Human Services,Fulltime,Income Assistance Program Specialist II,01/17/2012
F,29657.925,LIB,Department of Public Libraries,Parttime,Library Assistant I,03/01/1999
M,78893.94,POL,Department of Police,Fulltime,Police Officer III,07/17/2006
M,59322.78,POL,Department of Police,Fulltime,Police Officer III,10/06/2014
M,48401.1,SHF,Sheriff's Office,Fulltime,Deputy Sheriff Candidate,07/24/2017
F,93132.2818,HHS,Department of Health and Human Services,Fulltime,Community Health Nurse II,12/08/2008
F,65500.0236,POL,Department of Police,Fulltime,Accountant/Auditor III,03/10/2014
M,65771.64,COR,Correction and Rehabilitation,Fulltime,Correctional Officer III (Corporal),03/31/2008
F,99556.59,HHS,Department of Health and Human Services,Parttime,Medical Doctor III - Psychiatrist,04/14/2008
F,50340.417,HHS,Department of Health and Human Services,Parttime,School Health Room Technician I,08/04/2003
F,22294.81,LIB,Department of Public Libraries,Parttime,Library Assistant I,05/10/2008
M,64470.78,POL,Department of Police,Fulltime,Police Officer III,01/28/2013
F,81438,POL,Department of Police,Fulltime,Client Assistance Specialist,09/17/2001
M,68908.7916,COR,Correction and Rehabilitation,Fulltime,Correctional Health Nurse II,04/18/2016
M,119425.54,CAT,County Attorney's Office,Fulltime,Assistant County Attorney III,08/30/2010
M,62871.187,DOT,Department of Transportation,Fulltime,Bus Operator,05/12/2002
M,41234.6583,DOT,Department of Transportation,Fulltime,Bus Operator,02/22/2016
M,92787.69,POL,Department of Police,Fulltime,Police Officer III,01/26/2004
F,42382.9176,HHS,Department of Health and Human Services,Parttime,School Health Room Technician I,08/06/2007
F,158572.0402,COR,Correction and Rehabilitation,Fulltime,Manager II,08/12/1990
M,100707.1,FRS,Fire and Rescue Services,Fulltime,Fire/Rescue Lieutenant,09/04/2001
F,60588,FIN,Department of Finance,Fulltime,Fiscal Assistant,04/17/2017
F,109492.7364,HHS,Department of Health and Human Services,Fulltime,Program Manager II,07/02/1990
M,52995.09,DLC,Department of Liquor Control,Fulltime,Truck Driver/Warehouse Worker,12/11/2006
F,51630.3396,HHS,Department of Health and Human Services,Fulltime,Social Worker II,06/26/2017
M,64470.78,POL,Department of Police,Fulltime,Police Officer III,06/01/2010
M,72378.9858,FIN,Department of Finance,Fulltime,Office Services Coordinator,01/09/1989
M,49048.8219,DGS,Department of General Services,Fulltime,Imaging Operator II,07/02/2012
M,66408.51,DGS,Department of General Services,Fulltime,Public Service Craftsworker,01/10/2005
M,67066.02,DGS,Department of General Services,Fulltime,Public Service Craftsworker,12/26/2000
M,67066.02,DGS,Department of General Services,Fulltime,Public Service Craftsworker,11/17/2003
F,69540.5942,LIB,Department of Public Libraries,Fulltime,Library Assistant II,09/19/1995
F,46716.4566,HHS,Department of Health and Human Services,Fulltime,Principal Administrative Aide,03/03/2006
F,78158.9788,HHS,Department of Health and Human Services,Fulltime,Income Assistance Program Specialist II,04/03/2006
M,125172.36,POL,Department of Police,Fulltime,Police Lieutenant,03/16/1998
F,138790,DTS,Department of Technology Services,Fulltime,Manager III,10/24/1988
M,122585.72,DTS,Department of Technology Services,Fulltime,Senior Information Technology Specialist,10/09/1995
F,134920.79,DTS,Department of Technology Services,Fulltime,Manager III,02/19/2008
M,70068.75,FRS,Fire and Rescue Services,Fulltime,Firefighter/Rescuer III,03/19/2007
M,84437,FRS,Fire and Rescue Services,Fulltime,Firefighter/Rescuer III,01/22/2002
M,145771.28,DTS,Department of Technology Services,Fulltime,Technology Expert,09/05/2006
M,54668.32,FRS,Fire and Rescue Services,Fulltime,Firefighter/Rescuer III,03/10/2014
F,77922.59,HHS,Department of Health and Human Services,Fulltime,Community Services Aide III,04/02/1990
M,50673.72,FRS,Fire and Rescue Services,Fulltime,Firefighter/Rescuer III,12/12/2016
M,96986.1084,POL,Department of Police,Fulltime,Police Officer III,09/18/1995
M,96142.9095,COR,Correction and Rehabilitation,Fulltime,Correctional Supervisor (Sergeant),04/21/1997
F,58297.7151,POL,Department of Police,Fulltime,Client Assistance Specialist,12/16/2013
F,54109.9086,POL,Department of Police,Fulltime,Office Services Coordinator,09/06/2016
M,109937.3284,FRS,Fire and Rescue Services,Fulltime,Fire/Rescue Lieutenant,09/20/1993
F,71087.6034,LIB,Department of Public Libraries,Fulltime,Program Specialist II,08/22/2005
F,85284.94,LIB,Department of Public Libraries,Fulltime,Librarian I,10/15/1999
M,42067.6817,DOT,Department of Transportation,Fulltime,Bus Operator,04/04/2016
F,61712.45,SHF,Sheriff's Office,Fulltime,Principal Administrative Aide,04/23/1984
M,106104,POL,Department of Police,Fulltime,Police Sergeant,08/31/1998
F,62967.4108,HHS,Department of Health and Human Services,Fulltime,Social Worker II,08/11/2014
M,97114.05,COR,Correction and Rehabilitation,Fulltime,Correctional Supervisor (Sergeant),01/20/1998
F,95049.888,HHS,Department of Health and Human Services,Fulltime,Community Health Nurse II,07/30/2012
F,108880.8714,HHS,Department of Health and Human Services,Fulltime,Supervisory Social Worker,02/01/1987
F,61503.96,HHS,Department of Health and Human Services,Fulltime,Office Services Coordinator,07/11/2005
M,51715.0098,DOT,Department of Transportation,Fulltime,Bus Operator,02/12/2007
F,100060.1334,HHS,Department of Health and Human Services,Fulltime,Program Manager II,08/23/2004
M,46627.66,FRS,Fire and Rescue Services,Fulltime,Firefighter/Rescuer III,10/02/2017
M,113594.7596,CAT,County Attorney's Office,Fulltime,Assistant County Attorney III,09/26/2011
M,69013.56,FRS,Fire and Rescue Services,Fulltime,Firefighter/Rescuer III,03/27/2006
F,52684.02,HHS,Department of Health and Human Services,Fulltime,Social Worker II,05/15/2008
F,76226.64,POL,Department of Police,Fulltime,Police Officer III,01/16/2007
M,40242.06,DOT,Department of Transportation,Fulltime,Bus Operator,05/30/2017
F,49563.647,LIB,Department of Public Libraries,Fulltime,Fiscal Assistant,10/01/2007
M,95171.769,COR,Correction and Rehabilitation,Fulltime,Correctional Supervisor (Sergeant),06/28/1983
F,75614.1638,DPS,Department of Permitting Services,Fulltime,Permitting and Code Enforcement Inspector III,02/26/2001
M,90819.54,FRS,Fire and Rescue Services,Fulltime,Master Firefighter/Rescuer,09/11/2000
M,116481.61,DGS,Department of General Services,Fulltime,Manager III,06/02/1997
M,62446.13,DLC,Department of Liquor Control,Fulltime,Work Force Leader II,12/07/1992
F,64970.481,CCL,County Council,Fulltime,Legislative Senior Aide III,11/22/2010
F,85356.7704,HHS,Department of Health and Human Services,Fulltime,Income Assistance Program Specialist III,08/11/1997
F,52227.0396,DOT,Department of Transportation,Fulltime,Bus Operator,01/08/2007
F,70270.86,COR,Correction and Rehabilitation,Fulltime,Office Services Coordinator,03/18/2002
M,49143.84,POL,Department of Police,Fulltime,Program Specialist I,12/30/2013
M,71574.87,REC,Department of Recreation,Fulltime,Recreation Specialist,01/28/2001
M,47103.447,DOT,Department of Transportation,Fulltime,Bus Operator,04/08/2013
F,101373.7,HHS,Department of Health and Human Services,Fulltime,Social Worker III,09/12/2011
M,57740.7082,DLC,Department of Liquor Control,Fulltime,Supply Technician III,05/01/1997
M,45704.34,FRS,Fire and Rescue Services,Fulltime,Firefighter/Rescuer III,10/02/2017
F,23555.3292,POL,Department of Police,Parttime,Crossing Guard,10/06/2003
F,19343.6595,POL,Department of Police,Parttime,Crossing Guard,09/12/2011
M,59592.06,COR,Correction and Rehabilitation,Fulltime,Correctional Officer III (Corporal),07/29/2013
M,70630.61,POL,Department of Police,Fulltime,Information Technology Specialist I,09/24/2001
M,94133.5758,POL,Department of Police,Fulltime,Police Officer III,09/29/1997
F,49641.4394,HHS,Department of Health and Human Services,Fulltime,Principal Administrative Aide,08/06/2007
F,79321.0548,POL,Department of Police,Fulltime,Public Safety Emergency Communications Supervisor,04/17/2006
M,75800.06,POL,Department of Police,Fulltime,Police Officer III,07/17/2006
F,96358.647,HHS,Department of Health and Human Services,Fulltime,Environmental Health Specialist III,10/29/2001
M,104424.948,HHS,Department of Health and Human Services,Fulltime,Income Assistance Program Supervisor,05/31/1972
M,67942.7,COR,Correction and Rehabilitation,Fulltime,Correctional Officer III (Corporal),05/17/2004
M,48479.865,DOT,Department of Transportation,Fulltime,Bus Operator,07/14/2008
F,95528.2224,HHS,Department of Health and Human Services,Fulltime,Social Worker II,08/12/2002
F,72378.9858,POL,Department of Police,Fulltime,Office Services Coordinator,03/13/1989
F,80856.1459,CUS,Community Use of Public Facilities,Fulltime,Program Specialist II,05/19/2014
M,147214.56,DTS,Department of Technology Services,Fulltime,Technology Expert,01/04/1993
M,95931,DEP,Department of Environmental Protection,Fulltime,Program Manager II,06/26/2017
M,59007.7956,LIB,Department of Public Libraries,Fulltime,Program Specialist II,04/17/2017
F,59931.63,HHS,Department of Health and Human Services,Fulltime,Program Specialist II,06/12/2017
F,61710,CUS,Community Use of Public Facilities,Fulltime,Fiscal Assistant,08/21/2017
M,50459.502,DOT,Department of Transportation,Fulltime,Bus Operator,06/18/2007
M,102641.814,DOT,Department of Transportation,Fulltime,Engineer III,01/22/2008
F,58665.5091,HHS,Department of Health and Human Services,Parttime,School Health Room Technician I,04/14/1997
M,50689.5345,DOT,Department of Transportation,Fulltime,Bus Operator,04/30/2007
M,101099.3382,SHF,Sheriff's Office,Fulltime,Deputy Sheriff Sergeant,11/04/1996
M,42246.7808,DOT,Department of Transportation,Fulltime,Bus Operator,11/09/2015
M,44899.9642,DOT,Department of Transportation,Fulltime,Transit Coordinator,01/04/2016
M,56069.8376,DLC,Department of Liquor Control,Fulltime,Liquor Store Clerk II,07/02/2001
F,17027.39,POL,Department of Police,Parttime,Crossing Guard,12/12/2016
M,47003,COR,Correction and Rehabilitation,Fulltime,Correctional Officer III (Corporal),01/09/2017
F,87107,DGS,Department of General Services,Fulltime,Administrative Specialist II,10/06/1997
M,94782.6,DGS,Department of General Services,Fulltime,Program Manager I,06/25/2007
F,62977.1259,PRO,Office of Procurement,Fulltime,Procurement Specialist IV,07/23/2003
F,93706.38,POL,Department of Police,Fulltime,Police Officer III,01/14/2002
M,61059.55,FRS,Fire and Rescue Services,Fulltime,Firefighter/Rescuer III,06/04/2012
M,94133.5758,POL,Department of Police,Fulltime,Police Officer III,06/13/1994
F,95740,HCA,Department of Housing and Community Affairs,Fulltime,Housing Code Inspector III,04/17/2000
M,61966.8128,DOT,Department of Transportation,Fulltime,Public Service Craftsworker I,04/09/2002
M,46335.77,REC,Department of Recreation,Fulltime,Recreation Coordinator,01/30/2016
F,126630.7686,DOT,Department of Transportation,Fulltime,Manager III,01/07/2002
F,39437.2188,DOT,Department of Transportation,Fulltime,Bus Operator,05/30/2017
F,84077.5698,HHS,Department of Health and Human Services,Fulltime,Social Worker III,11/03/2014
M,61095.3255,DLC,Department of Liquor Control,Fulltime,Supply Technician III,08/10/1987
F,83686.58,POL,Department of Police,Fulltime,Police Officer III,01/18/2005
M,103381.1,HHS,Department of Health and Human Services,Fulltime,Therapist II,10/19/1987
F,73088.72,POL,Department of Police,Fulltime,Code Enforcement Inspector III,07/22/2002
F,52580.3273,HHS,Department of Health and Human Services,Fulltime,Income Assistance Program Specialist II,09/08/2015
M,41194.1673,DLC,Department of Liquor Control,Parttime,Liquor Store Clerk I,09/27/2001
M,34233.24,DOT,Department of Transportation,Fulltime,Equipment Operator I,06/12/2017
F,53624.6886,HHS,Department of Health and Human Services,Parttime,School Health Room Technician I,09/29/1996
F,54284.47,FRS,Fire and Rescue Services,Fulltime,Firefighter/Rescuer III,03/10/2014
F,25862.0398,POL,Department of Police,Parttime,Crossing Guard,12/07/1997
M,123799.44,CCL,County Council,Fulltime,Senior Information Technology Specialist,01/11/1988
M,67987.5,FRS,Fire and Rescue Services,Fulltime,Firefighter/Rescuer III,09/04/2007
M,116524.8,DOT,Department of Transportation,Fulltime,Manager III,02/10/2014
M,94133.5758,POL,Department of Police,Fulltime,Police Officer III,12/08/1986
M,40817.8232,DOT,Department of Transportation,Fulltime,Bus Operator,08/08/2016
F,129788.4258,POL,Department of Police,Fulltime,Manager III,08/20/2007
M,138664.72,FRS,Fire and Rescue Services,Fulltime,Fire/Rescue Battalion Chief,02/29/1988
F,50434.8792,DLC,Department of Liquor Control,Fulltime,Program Specialist I,06/15/2015
F,49470.1,DOT,Department of Transportation,Fulltime,Bus Operator,12/10/2007
F,108419.2782,PRO,Office of Procurement,Fulltime,Management and Budget Specialist III,06/26/1985
F,23425.2634,POL,Department of Police,Parttime,Crossing Guard,11/04/2002
M,69375,FRS,Fire and Rescue Services,Fulltime,Firefighter/Rescuer III,03/19/2007
F,60443.2518,HHS,Department of Health and Human Services,Parttime,School Health Room Technician I,11/28/1994
M,155282.3591,DPS,Department of Permitting Services,Fulltime,Manager II,08/18/1986
M,49362.5385,DOT,Department of Transportation,Fulltime,Equipment Operator II,10/13/2008
M,78476.31,COR,Correction and Rehabilitation,Fulltime,Correctional Officer III (Corporal),04/02/2001
M,47935.35,DOT,Department of Transportation,Fulltime,Equipment Operator II,11/24/2008
M,110915.8164,POL,Department of Police,Fulltime,Police Sergeant,07/26/1993
M,88101.48,FRS,Fire and Rescue Services,Fulltime,Master Firefighter/Rescuer,01/30/2006
M,82269,DTS,Department of Technology Services,Fulltime,Communications Equipment Technician II,03/20/2006
F,71669.3879,HHS,Department of Health and Human Services,Fulltime,Office Services Coordinator,04/06/1981
F,105448.722,HHS,Department of Health and Human Services,Fulltime,Social Worker III,03/22/1989
F,86819.901,HHS,Department of Health and Human Services,Fulltime,Program Manager I,07/14/2014
M,158849.46,DOT,Department of Transportation,Fulltime,Manager II,06/29/2015
F,96235.11,HHS,Department of Health and Human Services,Fulltime,Program Manager II,05/05/2014
F,59872.43,HHS,Department of Health and Human Services,Fulltime,Income Assistance Program Specialist II,01/18/2011
F,63703.5381,POL,Department of Police,Fulltime,Executive Administrative Aide,08/25/2003
F,51592.82,COR,Correction and Rehabilitation,Fulltime,Correctional Officer III (Corporal),01/26/2015
F,32226.8796,DLC,Department of Liquor Control,Parttime,Liquor Store Clerk I,10/06/2014
F,72924.9,COR,Correction and Rehabilitation,Fulltime,Correctional Officer III (Corporal),01/09/2006
M,65944.0608,DOT,Department of Transportation,Fulltime,Equipment Operator I,09/18/1989
M,58580,SHF,Sheriff's Office,Fulltime,Deputy Sheriff III,10/06/2014
M,107621.2872,POL,Department of Police,Fulltime,Police Sergeant,09/08/1987
M,28496.8,DLC,Department of Liquor Control,Parttime,Liquor Store Clerk I,01/09/2017
F,41651.17,DOT,Department of Transportation,Fulltime,Bus Operator,01/04/2016
F,94782.6,DPS,Department of Permitting Services,Fulltime,Permitting and Code Enforcement Inspector III,05/06/2013
M,39839.6394,DOT,Department of Transportation,Fulltime,Bus Operator,07/10/2017
M,92870.1774,FRS,Fire and Rescue Services,Fulltime,Master Firefighter/Rescuer,02/22/1994
M,120158.28,DGS,Department of General Services,Fulltime,Capital Projects Manager,11/18/2002
M,58781.4243,LIB,Department of Public Libraries,Fulltime,Librarian I,01/12/2015
M,47487.85,DOT,Department of Transportation,Fulltime,Equipment Operator I,02/04/2008
F,74896.47,COR,Correction and Rehabilitation,Fulltime,Senior Executive Administrative Aide,05/06/2002
F,45418.23,COR,Correction and Rehabilitation,Fulltime,Resident Supervisor II,03/06/2017
M,96986.1084,POL,Department of Police,Fulltime,Police Officer III,01/18/1994
F,40139.1473,CEC,Community Engagement Cluster,Fulltime,Urban District Public Service Aide,11/03/2008
M,82517.24,DPS,Department of Permitting Services,Fulltime,Permitting and Code Enforcement Inspector III,09/21/2015
M,45242.68,FRS,Fire and Rescue Services,Fulltime,Firefighter/Rescuer III,12/11/2017
F,45148.9332,HHS,Department of Health and Human Services,Parttime,School Health Room Technician I,10/31/2005
M,73110,FRS,Fire and Rescue Services,Fulltime,Firefighter/Rescuer III,09/02/2008
M,59238.06,FRS,Fire and Rescue Services,Fulltime,Firefighter/Rescuer III,07/29/2013
M,91696.4334,DPS,Department of Permitting Services,Fulltime,Permitting and Code Enforcement Inspector III,10/16/2006
M,56435,FRS,Fire and Rescue Services,Fulltime,Firefighter/Rescuer III,03/10/2014
M,122678.6,CCL,County Council,Fulltime,Confidential Aide,12/04/2006
M,67154.2942,DGS,Department of General Services,Fulltime,Mechanic Technician II,01/17/2012
M,74513.7846,DGS,Department of General Services,Fulltime,Electrician II,06/17/2013
M,61399.8,POL,Department of Police,Fulltime,Police Officer III,08/12/2013
M,96986.1084,POL,Department of Police,Fulltime,Police Officer III,09/18/1995
M,53747,FRS,Fire and Rescue Services,Fulltime,Firefighter/Rescuer III,09/22/2014
M,79968.196,DPS,Department of Permitting Services,Fulltime,Permitting and Code Enforcement Inspector III,02/09/2015
M,83931,DGS,Department of General Services,Fulltime,Print Shop Foreman,11/23/1977
M,93825.2,DOT,Department of Transportation,Fulltime,Information Technology Specialist II,01/26/2015
M,42858.7124,POL,Department of Police,Fulltime,Public Safety Communications Specialist III,12/27/2016
M,40817.8232,DOT,Department of Transportation,Fulltime,Bus Operator,10/31/2016
M,60313.6812,CEX,Offices of the County Executive,Fulltime,Performance Management and Data Analyst III,02/22/2016
M,112013.9928,POL,Department of Police,Fulltime,Police Sergeant,02/06/1995
M,108719.4636,POL,Department of Police,Fulltime,Police Sergeant,09/29/1997
M,65204.3,FRS,Fire and Rescue Services,Fulltime,Firefighter/Rescuer III,06/04/2012
M,68827.75,HHS,Department of Health and Human Services,Fulltime,Social Worker II,10/24/2011
F,90030.2872,POL,Department of Police,Fulltime,Police Officer III,02/05/1996
F,50096.97,SHF,Sheriff's Office,Fulltime,Deputy Sheriff III,08/10/2015
M,80061.69,COR,Correction and Rehabilitation,Fulltime,Correctional Officer III (Corporal),03/18/2002
M,57143.3049,POL,Department of Police,Fulltime,Client Assistance Specialist,12/30/2013
F,53223.5187,DOT,Department of Transportation,Fulltime,Bus Operator,03/02/2008
F,34790.965,CEX,Offices of the County Executive,Parttime,Office Services Coordinator,10/17/1994
M,82029.42,POL,Department of Police,Fulltime,Police Officer III,07/19/2004
F,47693.1906,HHS,Department of Health and Human Services,Fulltime,Principal Administrative Aide,08/03/2009
M,84737.07,DGS,Department of General Services,Fulltime,Energy Management Systems Technician,08/14/1995
F,87978.07,FRS,Fire and Rescue Services,Fulltime,Administrative Specialist II,12/23/1996
M,106242.78,FRS,Fire and Rescue Services,Fulltime,Fire/Rescue Lieutenant,08/17/1998
M,72378.9858,POL,Department of Police,Fulltime,Office Services Coordinator,08/27/1996
F,58682.7726,HHS,Department of Health and Human Services,Parttime,School Health Room Technician I,03/02/1998
F,125027.3871,POL,Department of Police,Fulltime,Police Lieutenant,07/06/1992
M,56532.74,DOT,Department of Transportation,Fulltime,Equipment Operator I,06/14/2004
M,66441.6279,DGS,Department of General Services,Fulltime,Mechanic Technician II,01/17/2012
M,91869,POL,Department of Police,Fulltime,Police Officer III,12/04/2000
F,83755.107,POL,Department of Police,Fulltime,Program Specialist II,06/16/2003
F,39342.9428,HHS,Department of Health and Human Services,Parttime,School Health Room Technician I,08/06/2007
M,114945.3564,DTS,Department of Technology Services,Fulltime,Senior Information Technology Specialist,06/13/2016
M,45718.0515,CEC,Community Engagement Cluster,Fulltime,Urban District Public Service Aide,07/01/2013
M,132046.3032,FIN,Department of Finance,Fulltime,Manager III,11/18/2013
F,62329.5745,HHS,Department of Health and Human Services,Fulltime,Principal Administrative Aide,03/16/1986
F,35599.4212,LIB,Department of Public Libraries,Parttime,Library Associate II,05/24/1999
F,103136.18,POL,Department of Police,Fulltime,Forensic Scientist,01/11/2016
M,102130.9641,SHF,Sheriff's Office,Fulltime,Deputy Sheriff Sergeant,06/13/1994
F,40644.4806,DOT,Department of Transportation,Fulltime,Bus Operator,01/23/2017
M,61059.55,FRS,Fire and Rescue Services,Fulltime,Firefighter/Rescuer III,06/04/2012
M,40644.4806,DOT,Department of Transportation,Fulltime,Bus Operator,07/10/2017
M,80227,CCL,County Council,Parttime,Manager II,07/23/2007
F,100804.2798,DOT,Department of Transportation,Fulltime,Senior Planning Specialist,03/24/2014
F,62221.6762,POL,Department of Police,Fulltime,Senior Public Safety Emergency Communications Specialist,01/04/2010
M,97091.55,FRS,Fire and Rescue Services,Fulltime,Master Firefighter/Rescuer,11/16/1992
M,79512.9882,DEP,Department of Environmental Protection,Fulltime,Environmental Health Specialist III,06/01/2004
F,58879.31,PIO,Office of Public Information,Fulltime,Customer Service Representative II,04/08/2013
F,42382.9176,HHS,Department of Health and Human Services,Parttime,School Health Room Technician I,08/06/2007
M,47103.447,POL,Department of Police,Fulltime,Traffic Enforcement Field Service Technician II,08/26/2013
M,107345.82,DOT,Department of Transportation,Fulltime,Program Manager II,12/19/1988
M,68074.8,COR,Correction and Rehabilitation,Fulltime,Correctional Officer III (Corporal),06/25/2007
M,68400.7653,DOT,Department of Transportation,Fulltime,Bus Operator,11/12/1991
F,41963,SHF,Sheriff's Office,Fulltime,Public Safety Telephone Reporting Aide I,03/20/2017
M,60795.94,COR,Correction and Rehabilitation,Fulltime,Correctional Officer III (Corporal),02/11/2013
F,68784.4037,DPS,Department of Permitting Services,Fulltime,Administrative Specialist II,06/29/2015
F,93825.2,HCA,Department of Housing and Community Affairs,Fulltime,Program Manager I,02/28/2000
M,84515.16,POL,Department of Police,Fulltime,Police Officer III,07/19/2004
M,52713.6218,DOT,Department of Transportation,Fulltime,Bus Operator,11/07/2005
M,114806.4677,DPS,Department of Permitting Services,Fulltime,Senior Permitting Services Specialist,03/31/1997
F,41215.5276,HHS,Department of Health and Human Services,Parttime,School Health Room Technician I,04/29/2002
M,93654.8154,DPS,Department of Permitting Services,Fulltime,Senior Permitting Services Specialist,11/24/2008
M,102509.26,FRS,Fire and Rescue Services,Fulltime,Master Firefighter/Rescuer,01/23/1995
M,41047.2072,DOT,Department of Transportation,Fulltime,Bus Operator,08/08/2016
M,17976.0822,POL,Department of Police,Parttime,Crossing Guard,08/24/2015
F,131507.541,HHS,Department of Health and Human Services,Fulltime,Manager III,07/14/2003
M,41651.17,DOT,Department of Transportation,Fulltime,Bus Operator,02/22/2016
M,76500,DOT,Department of Transportation,Fulltime,Real Estate Specialist III,05/15/2017
M,112013.9928,POL,Department of Police,Fulltime,Police Sergeant,06/13/1994
M,58716.7,HHS,Department of Health and Human Services,Fulltime,Principal Administrative Aide,04/23/2001
M,88741.02,POL,Department of Police,Fulltime,Master Police Officer,07/19/2004
M,109255.41,POL,Department of Police,Fulltime,Information Technology Specialist III,02/19/2001
M,62329.5745,DLC,Department of Liquor Control,Fulltime,Warehouse Equipment Operator,11/27/1989
F,93581.4152,DEP,Department of Environmental Protection,Fulltime,Program Manager II,02/11/2013
M,28032.7212,HCA,Department of Housing and Community Affairs,Parttime,Office Clerk,09/09/2013
M,57000.24,FRS,Fire and Rescue Services,Fulltime,Firefighter/Rescuer III,06/04/2012
M,72526.08,FRS,Fire and Rescue Services,Fulltime,Firefighter/Rescuer III,09/02/2008
M,58962.0628,DOT,Department of Transportation,Fulltime,Equipment Operator I,11/18/2002
M,101174.82,FRS,Fire and Rescue Services,Fulltime,Fire/Rescue Lieutenant,06/07/2004
M,86448.93,HHS,Department of Health and Human Services,Fulltime,Income Assistance Program Specialist II,04/18/1994
M,47318.1885,DOT,Department of Transportation,Fulltime,Bus Operator,01/09/2012
F,51471,POL,Department of Police,Fulltime,Police Officer Candidate,07/24/2017
M,96986.1084,POL,Department of Police,Fulltime,Police Officer III,06/13/1994
M,73579.587,LIB,Department of Public Libraries,Fulltime,Librarian II,08/18/2008
F,59258.09,HHS,Department of Health and Human Services,Parttime,School Health Room Technician I,08/08/1988
M,50096.97,SHF,Sheriff's Office,Fulltime,Deputy Sheriff III,07/11/2016
